0;NACECode;UnitOp;ProductCode;Product;E_EnergyInt_MIN-PC;E_EnergyInt_MAX-PC;E_EnergyInt_TARG-PC;E_EnergyInt_MIN-T;E_EnergyInt_MAX-T;E_EnergyInt_TARG-T;E_SEC min;E_SEC max;E_SEC_TARG;E_Unit;H_EnergyInt_MIN-PC;H_EnergyInt_MAX-PC;H_EnergyInt_TARG-PC;H_EnergyInt_MIN-T;H_EnergyInt_MAX-T;H_EnergyInt_TARG-T;H_SEC min;H_SEC max;H_SEC_TARG;H_Unit;T_EnergyInt_MIN-PC;T_EnergyInt_MAX-PC;T_EnergyInt_TARG-PC;T_EnergyInt_MIN-T;T_EnergyInt_MAX-T;T_EnergyInt_TARG-T;T_SEC min;T_SEC max;T_SEC_TARG;T_Unit;Comments;YearReference;References;Literature;DataRelevance;TurnoverMin;TurnoverMax;ProductionMin;ProductionMax;ProductionUnit
46;DA15.3;1804;DA020;Frozen vegetables;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;kWhe/t;;1998; EU-IPPC BREFS Food, Drink and Milk Industries;"BREF Food, Drink and Milk Industries[32, Van Bael J., 1998]
""Memorandum on Energy Consumption in the Flemish Frozen
Vegetable Sector"", VITO";
47;DA15.3;1804;DA020;Frozen vegetables;;;;;;;;;;;;;;;;;;;0.16;;;;;;;;;;;t/t;;1998; EU-IPPC BREFS Food, Drink and Milk Industries;"BREF Food, Drink and Milk Industries[32, Van Bael J., 1998]
""Memorandum on Energy Consumption in the Flemish Frozen
Vegetable Sector"", VITO";
48;DA15.3;1805;DA020;Frozen vegetables;;;;;;;;;3.5;;;;;;;;;;;;;;;;;;;;;kWhe/t;;1998; EU-IPPC BREFS Food, Drink and Milk Industries;"BREF Food, Drink and Milk Industries[32, Van Bael J., 1998]
""Memorandum on Energy Consumption in the Flemish Frozen
Vegetable Sector"", VITO";
49;DA15.3;1805;DA020;Frozen vegetables;;;;;;;;;;;;;;;;;;;0.9;;;;;;;;;;;t/t;;1998; EU-IPPC BREFS Food, Drink and Milk Industries;"BREF Food, Drink and Milk Industries[32, Van Bael J., 1998]
""Memorandum on Energy Consumption in the Flemish Frozen
Vegetable Sector"", VITO";
50;DA15.3;102;DA020;Frozen vegetables;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;kWhe/t;Electricity consumption for the washing of vegetables;1998; EU-IPPC BREFS Food, Drink and Milk Industries;"BREF Food, Drink and Milk Industries[32, Van Bael J., 1998]
""Memorandum on Energy Consumption in the Flemish Frozen
Vegetable Sector"", VITO";
51;DA15.3;102;DA020;Frozen vegetables;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5;kWhe/t;Electricity consumption for the washing of vegetables;1998; EU-IPPC BREFS Food, Drink and Milk Industries;"BREF Food, Drink and Milk Industries[32, Van Bael J., 1998]
""Memorandum on Energy Consumption in the Flemish Frozen
Vegetable Sector"", VITO";
52;DA15.3;102;DA020;Frozen vegetables;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.5;kWhe/t;Electricity consumption for the washing of vegetables;1998; EU-IPPC BREFS Food, Drink and Milk Industries;"BREF Food, Drink and Milk Industries[32, Van Bael J., 1998]
""Memorandum on Energy Consumption in the Flemish Frozen
Vegetable Sector"", VITO";
53;DA15.3;102;DA020;Frozen vegetables;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;kWhe/t;Electricity consumption for the washing of vegetables;1998; EU-IPPC BREFS Food, Drink and Milk Industries;"BREF Food, Drink and Milk Industries[32, Van Bael J., 1998]
""Memorandum on Energy Consumption in the Flemish Frozen
Vegetable Sector"", VITO";
54;DA15.3;102;DA020;Frozen vegetables;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;kWhe/t;Electricity consumption for the washing of vegetables;1998; EU-IPPC BREFS Food, Drink and Milk Industries;"BREF Food, Drink and Milk Industries[32, Van Bael J., 1998]
""Memorandum on Energy Consumption in the Flemish Frozen
Vegetable Sector"", VITO";
55;DA15.3;102;DA020;Frozen vegetables;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;kWhe/t;Electricity consumption for the washing of vegetables;1998; EU-IPPC BREFS Food, Drink and Milk Industries;"BREF Food, Drink and Milk Industries[32, Van Bael J., 1998]
""Memorandum on Energy Consumption in the Flemish Frozen
Vegetable Sector"", VITO";
56;DA15.3;102;DA020;Frozen vegetables;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.625;kWhe/t;Electricity consumption of mechanical processing of vegetables before freezing;1998; EU-IPPC BREFS Food, Drink and Milk Industries;"BREF Food, Drink and Milk Industries[32, Van Bael J., 1998]
""Memorandum on Energy Consumption in the Flemish Frozen
Vegetable Sector"", VITO";
