Index;Code;Description;Unit;HelpText;DataType;DefaultValue;MinValue;MaxValue;Required
E121;FUEL_SEC_BML;benchmark (lower limit);;;;;;;
E122;FUEL_SEC_BMH;benchmark (upper limit);;;;;;;
E123;FUEL_SEC_TAR;target;;;;;;;
E124;FUEL_SEC_REF;reference code selected benchmark and target;;;;;;;
E125;PE_UOS_BML;benchmark (lower limit);;;;;;;
E126;PE_UOS_BMH;benchmark (upper limit);;;;;;;
E127;PE_UOS_TAR;target;;;;;;;
E128;PE_UOS_REF;reference code selected benchmark and target;;;;;;;
E129;EL_UOS_BML;benchmark (lower limit);;;;;;;
E130;EL_UOS_BMH;benchmark (upper limit);;;;;;;
E131;EL_UOS_TAR;target;;;;;;;
E132;EL_UOS_REF;reference code selected benchmark and target;;;;;;;
E133;UPHS_BML;benchmark (lower limit);;;;;;;
E134;UPHS_BMH;benchmark (upper limit);;;;;;;
E135;UPHS_TAR;target;;;;;;;
E136;UPHS_REF;reference code selected benchmark and target;;;;;;;
E137;ENE_INT_CHK;evaluation of energy intensity;;;;;;;
E138;ENE_INT_COM;comment on evaluation of energy intensity;;;;;;;
E139;ENE_SEC_CHK;evaluation of energy intensity;;;;;;;
E140;ENE_SEC_COM;comment on evaluation of energy intensity;;;;;;;
E141;ENE_UOS_CHK;evaluation of energy intensity;;;;;;;
E142;ENE_UOS_COM;comment on evaluation of energy intensity;;;;;;;
X000;;GUI LABELS;;;;;;;
X001;;Einstein;;Menu;;;;;
X002;;Open;;Menu;;;;;
X003;;Save;;Menu;;;;;
X004;;Import;;Menu;;;;;
X005;;Export;;Menu;;;;;
X006;;Exit;;Menu;;;;;
X007;;Setup;;Menu;;;;;
X008;;Edit Database;;Menu;;;;;
X009;;Preferences;;Menu;;;;;
X010;;General data;;Frame;;;;;
X011;;Energy consumption;;Frame;;;;;
X012;;Processes data;;Frame;;;;;
X013;;Generation of heat and cold;;Frame;;;;;
X014;;Distribution of heat and cold;;Frame;;;;;
X015;;Renewable energies;;Frame;;;;;
X016;;Buildings;;Frame;;;;;
X017;;Economic parameters;;Frame;;;;;
X018;;Edit Industry Data;;treenode;;;;;
X019;;store data;;button;;;;;
X020;;Period of operation;;stInfo3Page1;;;;;
X021;;General information;;stInfo1Page1;;;;;
X022;;Statistical and economical data;;stInfo2Page1;;;;;
X023;;Product list;;stInfo6Page1;;;;;
X024;;Information on products;;stInfo4Page1;;;;;
X025;;add product;;buttonPage1;;;;;
X026;;Energy consumption by product;;stInfo5Page1;;;;;
X027;;delete product;;buttonPage1;;;;;
X028;;clear;;button;;;;;
X029;;Fuel consumption and cost;;stInfo1Page2;;;;;
X030;;Fuel list;;stInfo2Page2;;;;;
X031;;add fuel;;buttonAddFuelPage2;;;;;
X032;;Remove from list;;buttonRemoveFuelFromListPage2;;;;;
X033;;Electricity consumption and cost;;stInfo3Page2;;;;;
X034;;annual consumption MWh/year;;labelGridPage2;;;;;
X035;;contracted power kW;;labelGridPage2;;;;;
X036;;tariff type;;labelGridPage2;;;;;
X037;;tariff on installed power €/kW month;;labelGridPage2;;;;;
X038;;tariff on consumption €/kWh;;labelGridPage2;;;;;
X039;;annual electricity cost €/MWh;;labelGridPage2;;;;;
X040;;Electric consumption -;;labelGridPage2;;;;;
X041;;according type of use;;labelGridPage2;;;;;
X042;;annual consumption MWh/year;;labelGridPage2;;;;;
X043;;Peak;;labelGridPage2;;;;;
X044;;Standart;;labelGridPage2;;;;;
X045;;Valley;;labelGridPage2;;;;;
X046;;TOTAL;;labelGridPage2;;;;;
X047;;self-generation;;labelGridPage2;;;;;
X048;;sales to grid;;labelGridPage2;;;;;
X049;;Electricity for thermal uses;;labelGridPage2;;;;;
X050;;Electricity for non-thermal uses;;labelGridPage2;;;;;
X051;;Refrigeration;;labelGridPage2;;;;;
X052;;Air Conditioning;;labelGridPage2;;;;;
X053;;Other uses;;labelGridPage2;;;;;
X054;;Motor and machines;;labelGridPage2;;;;;
X055;;Electro-chemics;;labelGridPage2;;;;;
X056;;Lighting;;labelGridPage2;;;;;
X057;;add process;;buttonAddProcessPage3;;;;;
X058;;delete process;;buttonDeleteProcessPage3;;;;;
X059;;Process list;;stInfo1Page3;;;;;
X060;;Equipment list;;stInfo1Page4;;;;;
X061;;delete equipment;;buttonDeleteEquipmentPage4;;;;;
X062;;add equipment;;buttonAddEquipmentPage4;;;;;
X063;;Distribution list;;stInfo1Page5;;;;;
X064;;delete distribution;;buttonDeleteDistributionPage5;;;;;
X065;;add distribution;;buttonAddDistributionPage5;;;;;
X066;;Solar thermal energy;;stInfo2Page6;;;;;
X067;;Roof;;stInfo3Page6;;;;;
X068;;Ground;;stInfo4Page6;;;;;
X069;;Biomass;;stInfo5Page6;;;;;
X070;;Availability of biomass \nfrom the processes;;stInfo6Page6;;;;;
X071;;Availability of biomass \nfrom the region;;stInfo7Page6;;;;;
